Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
8486,S Miguel e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1744,,"Moura, Antônio Gonçalves"
8487,S Antônio e S José,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1744,,"Silva, Antônio Antunes da"
8488,S Cruz e NS da Piedade,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1738,,"João, Manoel"
8489, ,,Luanda,"Spanish Caribbean, unspecified",1655,,"Afonso, Antônio (Neto)"
8490,NS do Popolo e S Antônio,Amsterdam,Luanda,Buenos Aires,1656,,"Domingues, Martins<br/> Almeida, Benito de<br/> Aguero, Fernando de la Rua"
8491,NS dos Remédios e S Antônio,,Luanda,Buenos Aires,1656,,"Duarte, Manoel"
8492,S João de Deus e NS da Conceição,,Luanda,Buenos Aires,1656,,"Cordeiro, Francisco Fernandes"
8493,NS da Candelaria,,Luanda,Buenos Aires,1656,,"Mateus, André"
8494,S José e Santana,Lisbon,Benguela,,1734,,"Lamas, José Gonçalves"
8495,S José e Santana,,Luanda,"Americas, region unspecified",1738,,"Lamas, José Gonçalves"
8496,S Antônio e Almas,Rio de Janeiro,Benguela,"Bahia, port unspecified",1738,141,"Serra, José da"
8497,S Pedro e S Paulo,,Luanda,"Americas, region unspecified",1738,,"Torres, José de"
8498,NS do Livramento S Antônio e Almas,Rio de Janeiro,Luanda,Rio de Janeiro,1738,,"Dias, Teodósio<br/> Aguiar, José"
8499,NS do Cabo,,Luanda,"Americas, region unspecified",1738,,"Almeida, Estevão José"
8501,NS da Conceição S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Paiva, Amaro Martins de"
8502,NS da Piedade e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1723,,"Xarim, João Dias"
8503,NS de Nazaré S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Pereira, Manoel Gonçalves"
8504,S João Batista e NS da Conceição,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1723,,"Ferreira, Vicente"
8505,NS da Piedade e S José,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Martins, Bartolomeu"
8506,S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Coreis, Manoel Fernandes"
8507,NS do Rosario e S Antônio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1723,,"Antão, Caetano Lopes"
8508,Bom Jesus e S Antônio,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Francisco, José"
8509,NS do Rosario e S Domingos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1723,,"Marins de Aguia, Manoel"
8510,NS dos Prazeres e S Antônio,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Vaginel, Francisco"
8511,NS do Cabo e S Cruz,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1723,,"Nogueira, João<br/> Jorge, José"
8512,S Luísa e S Pedro,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1723,,"Brito, Inácio de"
8513,NS da Lembrança,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Dias, Manoel"
